GermLayer,DifferentiationState,Stage,CellName,CellTypeID,Anatomy1,Anatomy2,Sulston,CellType,Generalized
4:Mesodermal,4:Terminally differentiated,e,ABaraaaaapa,104,Pharynx,Epithelium,e1VR,Epithelial cell,Epithelial
4:Mesodermal,4:Terminally differentiated,e,ABaraaaaaap,112,Pharynx,Muscle,m1L,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABaraaaaaaa,104,Pharynx,Epithelium,e1VL,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABalpppppppp,114,Head,Lateral ganglia,AUAL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalpppppppa,114,Head,Amphid sensillum,ASJL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalppppppaa,114,Head,Amphid sensillum,ASEL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalpppppap,100,Head,Amphid sensillum,AWBL,Amphid wing neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalpppppaa,114,Head,Amphid sensillum,ADFL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalppppapaa,114,Head,Outer labial sensilla,OLLL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalppppaad,114,Head,Amphid sensillum,ADLL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalpppapppa,114,Head,Amphid sensillum,ASKL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalpppapav,102,Head,Amphid sensillum,AFDL,Amphid finger neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalpppapad,114,Head,Nerve ring,RMDL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalpppaapd,122,Lip,Lateral outer labial,OLLshL,Sheath cell (glia?),Other
2:Ectodermal,4:Terminally differentiated,e,ABalpppaaap,122,Lip,Quadrant outer labial,OLQshVL,Sheath cell (glia?),Other
2:Ectodermal,4:Terminally differentiated,e,ABalpppaaaa,110,Head,Lateral ganglia,AVEL,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalppapppp,114,Lip,Inner labial sensilla,IL2VL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalppapppaa,114,Lip,Inner labial sensilla,IL1VL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalppappap,114,Head,Nerve ring,BAGL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalppappaa,114,Head,Nerve ring,SMDVL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalppapapp,127,Labium,Inner labial,ILsoVL,Socket cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABalppapapa,110,Head,Nerve ring,SAADL,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalppapaap,122,Lip,Inner labial,ILshVL,Sheath cell (glia?),Other
2:Ectodermal,4:Terminally differentiated,e,ABalppapaaa,114,Head,Nerve ring,RMDVL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalppaappp,127,Head,Socket,CEPsoVL,Socket cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABalppaaapp,127,Lip,Quadrant outer labial,OLQsoVL,Socket cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABalppaaapa,110,Head,Lateral ganglia,AVAL,Interneuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,ABalpappppp,112,Pharynx,Muscle,m3VL,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABalpappppa,117,Pharynx,Marginal,mc1V,Pharyngeal marginal cell,Pharynx
2:Ectodermal,4:Terminally differentiated,e,ABalpapppaa,110,Pharynx,Anterior bulb,I1L,Interneuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,ABalpappapp,117,Pharynx,Marginal,mc3V,Pharyngeal marginal cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABalpappapa,104,Pharynx,Epithelium,e2V,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABalpappaapa,110,Pharynx,Anterior bulb,I2L,Interneuron,Pharynx
2:Ectodermal,4:Terminally differentiated,e,ABalpapappp,114,Head,Nerve ring,SMBVL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalpapapapp,114,Head,Nerve ring,SMBDL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalpapapaa,114,Head,Nerve ring,RMDDL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalpapaaap,109,Head,Cylindrical hypodermal syncytium,hyp2V,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABalpapaaaa,110,Head,Nerve ring,RIPL,Interneuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalpaapppp,109,Head,Cylindrical hypodermal syncytium,hyp2DL,Hypodermal cell,Hypodermis
2:Ectodermal,4:Terminally differentiated,e,ABalpaapppa,109,Head,Cylindrical hypodermal syncytium,hyp1DL,Hypodermal cell,Hypodermis
4:Mesodermal,4:Terminally differentiated,e,ABalpaapapp,112,Pharynx,Muscle,m3L,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABalpaapapa,117,Pharynx,Marginal,mc1DL,Pharyngeal marginal cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABalpaapaap,104,Pharynx,Epithelium,e2DL,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABalpaaappp,114,Pharynx,Neuron,MCL,Neuron,Neuron
4:Mesodermal,4:Terminally differentiated,e,ABalpaaapaa,112,Pharynx,Muscle,m2L,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABalpaaaapa,112,Pharynx,Muscle,m1VL,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABalpaaaaap,112,Pharynx,Muscle,m2VL,Muscle cell,Pharynx
4:Mesodermal,4:Terminally differentiated,e,ABalpaaaaaa,104,Pharynx,Epithelium,e3VL,Epithelial cell,Epithelial
2:Ectodermal,4:Terminally differentiated,e,ABalapppppp,127,Head,Socket,CEPsoDR,Socket cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABalapppppa,114,Head,Nerve ring,AVJR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalappppap,114,Lip,Inner labial sensilla,IL2DR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalappppaaa,114,Lip,Inner labial sensilla,IL1DR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalapppapp,114,Head,Nerve ring,URYDR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalapppapaa,114,Head,Outer labial sensilla,OLQDR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalapppaap,114,Head,Nerve ring,RMED,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalapppaaa,114,Head,Dorsal ganglion,ALA,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalappappp,127,Labium,Lateral outer labial,OLLsoR,Socket cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABalappappa,114,Body,Lateral in midbody,CANR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalappapaa,114,Body,Ventral nerve cord,AVHR,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalappaapa,114,Head,Neuron,RID,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalapapppp,127,Head,Socket,CEPsoDL,Socket cell,Other
2:Ectodermal,4:Terminally differentiated,e,ABalapapppa,114,Head,Nerve ring,AVJL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalapappap,114,Lip,Inner labial sensilla,IL2DL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalapappaaa,114,Lip,Inner labial sensilla,IL1DL,Neuron,Neuron
2:Ectodermal,4:Terminally differentiated,e,ABalapapapp,114,Head,Nerve ring,URYDL,Neuron,Neuron
